“力昂”（游戏角色）的背景故事是什么	"力昂追求绝对的力量。但刚开始的他并不懂得保护自己，经常因切磋或者冒险落得一身伤，直到某位好友推荐他去科技王国打造一身属于自己的铠甲。力昂只身前往，自此接下了护卫科技王国的工作。力昂很喜欢科技王国核心技术打造的铠甲、宝剑和盾牌。这些东西看似笨重，穿上却异常轻盈，使用恰到好处的力量便可操控，之后他便一直追寻更强的铠甲和武器，而不是只使用蛮力。力昂的爱好简单暴力，就是和其他潮灵切磋，而俗话说不打不相识，一般打上一架，他就交到一个新朋友。下一次见他，就是在酒馆里称兄道弟了。当然，护卫的工作他也从未懈怠。"
“琳”（游戏角色）的背景故事是什么	"如果说风中王国是一座美好的幻梦乐园，那么琳就是这个乐园里维持快乐的最重要的一部分。琳喜欢高空的风，喜欢明媚的太阳，喜欢绽放的鲜花，喜欢剔透的雨滴。在琳的眼里，这个世界所有的事物都显得很可爱，于是她更喜欢成为帮助大家，让大家感到快乐的开心果。甜软的蛋糕和酥脆的点心是琳最喜欢也做的最拿手的食物，而她也非常乐意与大家分享这份美味，在初春的草地上品尝新鲜的食物与水果，简直是最幸福的事情了！记得当年，风中王国曾遭遇过一场浩劫，许多未知的飞行生物来到这里想要带走许多潮灵，但最后，他们居然被琳的善良所感动，最终离去。所以对于这里的潮灵来说，琳不光是用热情与欢乐感染着他们的小太阳，也是救王国于水火之中的英雄。而琳也想去往其他王国旅行，把更多的快乐带给其他潮灵。"
“影”（游戏角色）的背景故事是什么	影有自己追求的影之道。极致的速度、无法捕捉的身法、光明中事物的阴暗面，他认为影子也有自身的灵魂，于是一直追求做到如影子那般来去自如，并承受这个世界阴暗的一面。光明与黑暗对立而生，彼此依存，如无黑暗，也就不存在光明。世界万物如此，阴阳交错，熵增熵减。影摸索着这个世界的规律，在追求形影合一的道路上行走，或许会偶尔停留，也只是有某处的风景或事物值得他驻足，但他不会停下脚步。																
“血刃”（游戏角色）的背景故事是什么	"作为烈焰王国出身尊贵的公主，血刃并不会在意某些繁文缛节的礼仪，虽然她确实心高气傲，但最讨厌的，就是被规则所束缚。血刃属于稀有的血族，据说是一种古老的被诅咒的种族，需要吸取他人的灵力来延续生命，但她凭借自己的力量打破了这种诅咒。血刃追求自由，喜欢广阔的天空、无垠的大海，和一切看起来没有边际，遥远而充满幻想的事物。虽然与人相处时，她大部分时间都显得气呼呼的样子，但实际上傲娇又别扭的她并不喜欢在别人面前直接表达自己的想法，那样的做法似乎有辱身份！但她内心善良，嘴上说不的话，实际行动都会去做，只有在面对威胁到她的敌人时，她才会毫不手软。对于血刃认定的事情，都会有一种固执的坚持，但不得不说她的观察力与理解能力大多数时候都强于大部分潮灵。"
“轻舞佳人”（游戏角色）的背景故事是什么	"轻舞佳人曾被称为月之仙子。那是巨龙王国国宴之时的歌舞大会，轻舞佳人沐浴月光而来，在用灵力静止的水面上翩然起舞，加上手中琵琶的弹奏，舞乐配合，翩若惊鸿，宛若游龙，当真是如同月之仙子一般灵动超然。轻舞佳人性情温婉，平日最大的爱好便是弹奏各种乐器，伴随着山水之间的自然音效奏出动人心魄的曲子。她本来远离尘世，打算找一隅静谧之地修身养性，但因种种缘故不得不暂时居住于海洋王国，为潮灵们化解危机。轻舞佳人的确对月亮充满向往，尽管在人类的知识中了解到月宫并不存在，她还是期许着有那样的仙境。"
“烟火神”（游戏角色）的背景故事是什么	"烟火神是一个争强好斗的活跃分子，在发展年代，他隶属于一个王国联合势力的特别行动队，对制作炸弹、毒气弹这一类的非常擅长。在一次边境探索行动中，他们遭遇了异常袭击，被不知名的炸弹轰炸。烟火神在那一次行动中面部毁容，但从烟火中救出其余队友的他也获得了他们的信任和感激，从代号E35改为称他烟火神。后来潮灵世界发展到繁荣年代，他们的特别行动队也没有了用武之地就此解散。烟火神本打算加入王国佣兵团，就迎来了沉睡之雨这场突然的灾难。苏醒之后的他开始变得好斗且疯狂，总是想毁灭点什么东西，许多潮灵总对他感到惧怕并远离，但也有少数潮灵愿意接近并了解他。虽然好斗，且嘴上总是挂着想毁灭世界的这种言论，但烟火神也在守护着自己的想要保护的东西。"
“泡泡脑”（游戏角色）的背景故事是什么	"泡泡脑是有史以来潮灵中最天才也最怪异的科学家，有潮灵称他为“科学怪人”，也有潮灵尊称他为博士。潮灵们都很好奇泡泡脑的脑袋为什么会是这个样子。传说这是曾经的他为了研究潮灵的构造，解剖自己而造成的。泡泡脑研读人类的科学研究史，发现人类的大脑是其支配身体和储存记忆最重要的部位，基于“缸中之脑”的假想，泡泡脑最终决定解剖自身，看看潮灵是否有大脑构造。那是泡泡脑最接近沉睡之雨真相的时刻。他完成了人类科学家的猜想，以一种全新的面貌生存下来。而明白潮灵构造后的他，却开始怀疑世界的真实性。"
“伊林”（游戏角色）的背景故事是什么	"伊林是一个共情能力比较强的潮灵。她能感知其他潮灵的情绪，不管是开心、愤怒、悲伤还是痛苦，她总能设身处地地站在对方的立场，感知其情绪的蔓延。这样的能力与生俱来，无法消除，偶尔会让伊林感到十分困扰，也因此，她决心守护潮灵们，为他们带来安静祥和的生活。伊林也是第一个懂得“爱”这种情感的潮灵，她深知这种情感的强大。潮灵们正是由幻想、情感与情绪诞生而来，一些情感也能给潮灵带来提升，所以她会引导潮灵们去感知爱这种情感，不管是哪一种爱，都是纯粹而饱含力量的。"
“白墩墩”（游戏角色）的背景故事是什么	"作为科技王国的科学博士，白墩墩为王国的技术革新提供了核心技术理论。自发展年代初，白墩墩便开始研究机械和人工智能等技术，一直以来都取得了重要的成果，应用在各潮灵王国的衣食住行方面。沉睡年代的到来使得这些技术产生了断层，许多潮灵王国回归原始，只有科技王国保留了机械技术和电子网络技术。于是这个王国开始迅速崛起。而对白墩墩来说，比起虚拟而庞大的数据，他更喜欢看得见，摸得着且结构复杂、令人着迷的机械，二者的结合也是白墩墩研究的重点，他身上的轻薄电甲服便是集防御、智能和轻便为一体的新型铠甲。白墩墩平日的爱好除了研究，大概就是在实战模拟中检测各种机械战甲的力量，他要为某一天可能到来的战斗做好充足的准备。"
“重”（游戏角色）的背景故事是什么	"重是稀有的融合了人工智能机器的潮灵，和人工智能的区别在于，他还是拥有自身的情感和意识，但他喜欢用机械的方式生活和战斗。重机甲内的智能系统可以帮助他识别危机，扫描不明物体，开启不同的应对模式。对于最初的重来说，多余的情感显得比较累赘，因为他刚就是为了战斗而诞生的。直到他遇到了许多伙伴，他们的热情和友善感染着他，也解开了他封闭的内心。重开始有了自己的喜好。他会随伙伴一起冒险，也懂得开启休闲模式，或者汲取知识，从那之后，守护潮灵王国便成了重心中的第一信念。"
“墩小艺”（游戏角色）的背景故事是什么	"墩小艺记得自己是从人类世界来到潮灵世界的，虽然其他记忆已经有些模糊，但他对一种叫熊猫的人类世界生物印象非常深刻。最初的墩小艺并没有身上的机甲，他的身形也显得比其他潮灵矮小，在遇到危险时，常常无法保护好自己。但乐观的他没有放弃，他一路流浪，最终在科技王国定居，还学习了王国的技术，打造出自己最喜欢的熊猫机甲。穿上机甲的墩小艺显得更加活跃好动了，他经常孤身踏足人迹罕至的地方，寻找人类世界与潮灵世界的交界。同时他也在研究人类的历史，想要找到当年让潮灵们沉睡的那场大雨的真相。他做的事情往往不被其他潮灵所理解，但他依旧乐此不疲，穿着机甲往更深的森林穿梭跳跃。"
“阿鲁鲁”（游戏角色）的背景故事是什么	"阿鲁鲁是烈焰王国公主血刃的姐姐，她与血刃同根同源，在诞生的时刻同样受到了诅咒，即她有着特殊的光暗缝合面貌形态，所谓的一半天使，一半魔鬼，使得她喜怒无常，性格分裂。但阿鲁鲁一直在努力克服且融合这种形态，因为她答应过一个重要的潮灵要守护海洋王国，于是她做出了努力，一直在为王国着想和操劳。对她来说，只要是能达到目的的事情，她都愿意去尝试。由于性格阴晴不定的缘故，阿鲁鲁以往的朋友很少，只有血刃愿意忍受她，因此她更加珍视这份姐妹情谊，她也甘愿站在暗处，推举血刃为海洋王国的代理人，为她做她想做的事。除非，血刃违背她想守护的初衷。"
“吉他手”（游戏角色）的背景故事是什么	"吉他手并没有关于自己如何诞生，如何成长的记忆，其实这样的情况很多潮灵身上都会出现，但他们会把最初醒来的时候当作一切的开始。吉他手醒来的时候，就发现自己身上有一把吉他，他试着弹了弹，发现这把吉他就像他身体的一部分，仿佛奏响了生命的乐章。从此之后，无名无姓的他称自己为吉他手，最大的梦想，就是给越来越多的人演奏。除了音乐以外的事情，吉他手会显得比较迟钝，大部分时间他的脑海里都流淌着旋律，所以说话的时候需要更多时间来思考，但演奏的意义并不单纯是自己喜欢，更重要的是也有很多人喜欢他的音乐。只要还有一个人喜欢，他就不会停下演奏！"
“乔科”（游戏角色）的背景故事是什么	乔科具有超强的运动天赋，在别的潮灵还在苦苦锻炼自己不灵活的躯干时，他就已经上蹿下跳、健步如飞了。从在百货商场的货架上遇到篮球的那一刻开始，乔科认为自己找到了生命中缺失的一部分灵魂，从此之后他便球不离手，也会鼓励其他潮灵参与到这项运动中来。乔科非常擅长交朋友，坦率直爽的性格也使得大家都愿意与他往来，毕竟他说一不二，在很多事情上都是个可靠的帮手。待人友善的他恐怕只有在篮球场上不会退让一分，此时此刻，必赢才是信念！																
“小小”（游戏角色）的背景故事是什么	"小小是世界上诞生的第一个潮灵，他似乎明白自己有着不同寻常的经历，但记忆如同被毁坏的拼图一般，只有一些零碎光影的画面，让他来不及看清。小小的性格和很多潮灵对他的第一印象会有很大出入，看起来又酷又痞的他却善良温柔，总是尽自己最大的力量帮助其他潮灵，但他也不会鲁莽行事，属于是有勇有谋，又擅于听从别人意见的类型。小小似乎没有什么特殊的爱好，他只觉得自己的生命中仿佛缺失了什么重要的东西，而他也不断在寻找。对待这个世界的温柔便是他对缺失的记忆最好的理解。"
“苏拉”（游戏角色）的背景故事是什么	热衷冒险追逐快乐的苏拉非常喜欢阳光和鲜花，所以从前经常会从紧闭的王国城堡偷溜出去，直到风中王国没落。也因此，她练就了一身弹弓绝技，作为外出防身和觅食的手段；不过当携带的指南针坏了之时，她便会向旅途中的经验猎人请教野外生存的技能，不知为什么，爱笑的苏拉总是遇到愿意帮助她的人，就算是遇到危险也总能化险为夷安然无事！但一个人独自冒险对她来说总归有点不妥，朋友们总是劝说，她也总因贪玩而被训斥，但却没有丝毫想改变的意思，她坚持着自己的想法，也继续着这“叛逆”的冒险！																
“多多”（游戏角色）的背景故事是什么	"繁荣年代时，曾经有个盛极一时的潮灵王国——金域之国，金域之国有着完整的体系制度，资源丰富，科技发达，是当时很多潮灵向往的国度。多多当时便是金域之国的王子。然而金域之国在沉睡年代未到来之前就逐渐瓦解了。因为记忆的缺失，多多并不记得当年具体发生了什么，他印象最深刻的是他身为王子在世界各处游历的记忆，而他强大的社交能力或许便是那时候经历的沉淀。如今的多多虽然看起来不着调，在赚钱方面却有着极高的天赋，所以尽管他失去了王子的身份，却依旧行事高调，用度奢侈，不过待人却没有丝毫架子，乐观而极具幽默感，大概只有在别人否认他的审美时，他才会昂起头颅，用不屑的目光表示自己不和“一般潮灵”计较。"
“菲”（游戏角色）的背景故事是什么	"性格爽朗、直率、洒脱的菲似乎有着不愿提及的过去。菲和大部分记忆缺失的潮灵不同，她的记忆比较完整，据说曾经是某个组织的大姐头，时光在她身上的沉淀更多也更厚重，因此她也显得比其他潮灵更加成熟稳重，充满故事感。菲的战斗风格干净利落，毫不拖泥带水，这和她平时快节奏的生活习惯有关。她很少在意和自己无关的事和人，有时候遇到纠缠的倾慕者，菲只会觉得麻烦且视而不见。在面对亲近的伙伴时，菲偶尔会显得有些毒舌，但她只是刀子嘴豆腐心，实际上是一个喜欢关照同伴的大姐姐。"
“阿瓜”（游戏角色）的背景故事是什么	"做事总是慢半拍的阿瓜看起来似乎与天才这个词毫不沾边，然而事实上他确实是难得一见的头脑方面的天才，他就像潮灵世界的百科全书那样全知全能，在遇到不了解的情况时，也能根据分析和推理了解事情的来龙去脉，因为头脑聪明，经常得到其他潮灵无条件的信任。不过他在社交和生活方面就显得有些局促，不擅长聊天，只有在提及某些专业知识的时候会话语流畅，逻辑清晰，表达明确。平日里他除了看书就喜欢画画，色彩与线条能带给他最好的享受。阿瓜的样貌和他的身世一样神秘，几乎没有人见过他真正的长相，但大家也不是非常在意，毕竟可爱的西瓜头造型也很招人喜欢。如果问及阿瓜的过去，阿瓜就会不动声色地绕开这个话题，真是一个集神秘与智慧于一身的小少年呢。"
“牟重重”（游戏角色）的背景故事是什么	"牟重重是巨龙王国岩岩村的村长，性格敦厚，充满亲和力。由于在某次灾难中保护和救助了很多潮灵，潮灵们信任且尊崇他，便推举他为村长。而牟重重也恪尽职守，维护着岩岩村的祥和安宁。牟重重喜欢音乐，喜欢原始且令人激愤的音乐，因此他时常背一个鼓，每当村里进行篝火晚会等庆祝活动时，他便会亲自伴乐。他有着牛的兽化特征，习性和也和牛非常相似，力气大，平时温和，被激怒时会很狂躁。但潮灵们依旧信任他，因为他有一个妹妹，也是他会全力保护的对象，只要有妹妹在，牟重重的狂躁很快便会终止，因为相比起来，妹妹更是脾气火爆的主，牟重重为了控制她的情绪，只能先尽力控制好自身。"
“玻丽”（游戏角色）的背景故事是什么	"玻丽是遗忘之森鼹鼠盗贼团中的一员，她机智灵敏，擅于伪装。平日里的她是妥妥的宅女，却被迫因为生计不得不展开“工作”。这个盗贼团隶属于一个神秘组织，如果不是为了完成组织的命令，玻丽只想过躺平的生活，而不是在被追捕，就是在被追捕的路上。这些年的伪装和逃脱技巧也是逐渐磨练出来的。至于为什么她要听从组织，就还要从她在人类世界的经历说起。玻丽是一个被伤害且被遗弃了的潮灵。原来的主人嫌弃她不够好看，且把对生活不幸的怨怼发泄到她身上，最终把她丢出了窗外。在她和老鼠抢夺睡觉窝点的时候，盗贼团的另外两位成员帮助了她，他们同样是被遗弃的潮灵。最终他们三人组成了盗贼团，用这种方法生存下去，直到被神秘组织招安，送往潮灵世界。玻丽并不在意别的潮灵对她们的怨恨，她只想早点完成任务，然后躺平，窝在家里度过余生。"
“卜卜苏利”（游戏角色）的背景故事是什么	"卜卜苏利的记忆始于一个极寒的冬夜。她自山洞中醒来，周围一片黑暗，唯有洞外的月光照出一弧清冷的光柱，孤狼自大雪中而来，成为了她最初的伙伴。自此以后，卜卜苏利独自生存于雪山上与狼作伴，直到冰冰王国的王子来邀请她加入王国，她才第一次踏出雪山，结识了其他潮灵伙伴。但多数时间，她依旧喜欢一个人待在雪山上，或许是因为长期未接触潮灵，她有着较重的社交恐惧症，总是喜欢用帽子和围巾挡住脸，唯露出一双看似犀利的双眼，实际上生活中的她性格却比较温柔。"
“牟九九”（游戏角色）的背景故事是什么	"作为巨龙王国岩岩村村长的妹妹，牟重重对她极尽宠爱，因此也从不同程度上造就了牟九九娇蛮任性、火辣率真的性格，而她的口味也如同性格一般，嗜辣如命。牟九九喜欢烹饪，特别喜欢做各种辣式菜肴，但一般的潮灵可承受不起这份辣度。喜欢挑战自我、打抱不平也是牟九九直爽而善良的一面。"
“奇霍”（游戏角色）的背景故事是什么	"奇霍最初是鼹鼠盗贼团中的一员，他虽然好吃懒做，但因为比较机敏，心思活络，常常作为盗贼团中的智慧锦囊。因为执行任务时需要伪装，而奇霍总是伪装成商人。久而久之，他发现了许多王国充足的资源在有的的王国却是非常珍稀的物资，他由此看到了商机。后来鼹鼠盗贼团解散，他便用多年攒来的钱拜托机械王国的大师为他量身打造了一架飞机，从此，他便成了来往各国之间的“奇货商人”。"
“塔弥”（游戏角色）的背景故事是什么	"塔弥在人类世界游历之初，就非常沉迷于各种电子游戏。但他一没钱二没家，往往只能一旁观看别人游玩。那种虚拟的想象和精妙的设计令他着迷。直到有一天，有个人类跟他说，让他帮自己偷一件东西，就送他一台游戏机，塔弥答应下来。后来他和那个组织达成了长期交易，过程中他还收留了两个潮灵，于是三人成立了一个鼹鼠盗贼团。去往潮灵世界之后，塔弥开始尝试自己制作游戏，到后来是智能程序，机器人等等。这种操控与游玩的乐趣让他感到着迷，他不由得地想，当初人类创造潮灵的时候，是不是也是同样的想法呢。"
“哈琪”（游戏角色）的背景故事是什么	"一直生活在水晶宫殿的哈琪有着一颗极度渴望自由的心。虽然自她有记忆开始，就被告知自己将作为冰雪王国的公主，肩负起引领众人的职责。作为准公主，哈琪学了不少礼仪话术仪式等等贵族体系中繁琐的东西，但每次学完，她都会很快将这些抛之脑后，开始打算偷偷溜出宫殿，虽然最后都以失败告终。最后哈琪如愿以偿地没有当上公主，她凭借着出色的灵力和气魄说服众人她并不适合这个职位。而当她开始游历各国后，才发现了一些一直藏在自己身上的秘密，最终她不得不回到冰雪王国，但她依旧古灵精怪，充满活力。"
“图巴罗”（游戏角色）的背景故事是什么	"图巴罗曾被称为风中的巴兰罗纳，巴兰罗纳是曾经繁华年代足球比赛中最耀眼的球星，也是图巴罗一直以来的偶像，他苦练球技，只为追上偶像的步伐，而他也一度做到了。然而星星总有落幕之时，后来比赛中的几次失误，让图巴罗彻底跌下足球“神坛”，但也因此让图巴罗发现了自己迷失的内心。他喜欢的，一直都是那种和朋友在风中奔跑的感觉，而不是所谓的名利与荣誉。从此之后，图巴罗成了最快乐的风种子，用自己的乐观与活力感染着他人。"
“杜比利”（游戏角色）的背景故事是什么	"作为一个拥有智能电子怀表和高科技拐杖的绅士，杜比利显得神秘而又优雅。杜比利喜欢变魔术，没人知道他的道具是从何而来，也从没人能成功揭秘他的魔术，因此在大多数潮灵眼中，杜比利更像是一个拥有神秘法术的魔法师，尽管他一直强调那些只不过是魔术的小把戏罢了。这样的身份也让杜比利多了一层天然的屏障，仿佛无论你与他如何交好，都难以了解到真正的他。对于曾经身为他最好的朋友的杜铎深有感受。"
“泷”（游戏角色）的背景故事是什么	"泷来自于一个远古的神秘家族，据说这个家族的人能够开天眼，可以预见未来。所以大部分时候，他们都需要蒙住自己的双眼，毕竟天机不可泄漏，这种逆天的能力同时会带来沉重的代价。多数时间，泷更喜欢在山间静坐，听声观景，感受天地与自然的玄妙，对他来说，可见的命运似乎是不可更改的，所以他更喜欢倡导顺其自然。。当然，偶尔他也会任性一把，与天道作个小小的对。"
“杜铎”（游戏角色）的背景故事是什么	"作为冰雪王国的王子，杜铎在很小的时候就承担起了治理王国的责任，虽然他一直觉得这并不适合自己，但由于居民们对他的崇敬与信任，他还是沉默着履行着职责，年复一年。直到某天，冰雪王国在其好友杜比利与某个组织的暗中勾连，差点迎来覆灭，杜铎无法面对好友的背叛，在民众误会他是罪魁祸首的质疑下，他选择了冰封自己，迎来真正的永恒。"
“莉亚特”（游戏角色）的背景故事是什么	"在追求机械与科技的结合的科技王国，莉亚特是一个特殊的存在。在迷恋机械装置的同时，她对时尚也算是颇有心得，虽然总是无法得到别人在时尚方面的认可，但莉亚特认为，真正的时尚就是令人难以琢磨。莉亚特性格直率，做事不免偶尔冲动，往往会闹出一些乌龙，但她总是坚持自己的原则，勇往直前，毫不畏惧。算是她的优点，也算是缺点吧。"
“艾尔”（游戏角色）的背景故事是什么	"最初，海洋王国处于浅海区，分沿海和水下两个区域，曾一时繁华无比，如同童话世界一般梦幻而令人向往。这一切被来自深海的巨兽给毁灭了。沉睡之雨降临那日，海底动荡，惊动了暗海的巨兽，而当时的海洋公主为了拯救王国的居民们，选择耗尽自己的力量让巨兽陷入沉睡。为了让巨兽维持在沉睡的状态，有一部分潮灵到了暗海中生存，而艾尔便是暗海区的王子。艾尔身上背负着沉重的责任，这使得他看起来有些难以靠近，甚至让潮灵感到阴冷。有潮灵说艾尔因为守护暗海结界而染上了深渊巨兽的气息，因此大部分时间，艾尔身旁都很少有潮灵敢靠近，而他也随着孤寂的生活变得愈发沉默寡言。艾尔成为了一个沉默的守护者，等待着这里不再需要他的那天来临。"
“丽莎”（游戏角色）的背景故事是什么	"丽莎是海洋王国的公主，作为天生的人鱼形象，她在水里非常怡然自得，也更能操控自然中水元素的相关的灵力，这使得她在海洋王国有着不可代替代的地位。被赋予重任的同时，丽莎也更加热爱王国的居民，有着想要保护他们的决心，她善良，却也心思活络，容易感到忧伤，而因此流出来的眼泪，会化成最美的珍珠，能在潮灵大陆卖出超高的价钱。她也偶尔会用眼泪换取的资源来建设王国，当然这件事在贝蒂知道后，便被严厉禁止了。"
“蕾拉”（游戏角色）的背景故事是什么	"雷拉是冰雪王国城堡里的优雅贵族小姐，从小便接受贵族礼仪教育，对舞蹈尤为擅长，但城堡里严苛乏味的规矩生活使她感到无聊，每当如此她便会去到后院的空地里翩翩起舞，以此来消遣心中苦闷，美丽的舞姿也吸引来了她的一位特殊的朋友——雪精灵。据说每当这位小姐起舞的时候，人们可以看见城堡上空就仿佛太阳一般射出温暖明亮的光芒，十分神奇，人们都说从她的眼睛里也能看到这份暖意。"
“卢卡”（游戏角色）的背景故事是什么	"卢卡是来自烈焰王国的火龙后裔。因为长得怪异，身体长着龙鳍、龙爪、龙尾、翅膀等特征，因此很少能交到朋友，他也显得胆怯，虽然他的身体里面有着强大的火龙力量。直到一次看见同伴遇到危险，悬崖落石正砸向同伴，卢卡见状便奋不顾身地冲了过去，就在千钧一发之际，卢卡体内的火龙之力由于其内心强烈的保护决心以及血脉的生存本能从而觉醒了！卢卡的觉醒之力包裹着全身，仿佛有一条光龙在他的身后站出来——被力量指引着一拳击碎了落石！从此之后，卢卡便开始勇敢面对异样的目光，虽然嘴上说着绝对不会帮忙，但身体还是很诚实地会去帮助弱小，面对道谢嘴上说着不在意，实际上心里会非常开心。"
“梅姬”（游戏角色）的背景故事是什么	"来自科技王国的拳击明星少女梅姬，从小出道便凭借过人天赋便拿到了各大赛事的有力奖项。而这里的拳击比赛与传统的拳击有所区别，便是利用机能装备的拳击赛事。梅姬的性格也因此显得更加直率和洒脱，一言不合就想与对方比试比试。当然，对待朋友她也是会手下留情的。"
“海德”（游戏角色）的背景故事是什么	"海德是来自海洋王国的传奇海盗，一直以来关于他的故事都是来自于酒馆里的传闻，这些传闻亦真亦假，显得极为神秘。有人说他找到了海盗湾的宝藏富可敌国，有人说他击败了漩涡谷的巨大章鱼怪，获得了神秘力量……他身上似乎有着看似平凡却神奇无比的宝物，如破旧的指南针、老式的望远镜、古朴的海盗弯刀、诙谐滑稽的船长帽、牛皮酒壶、古老金币等。但他的眼神却异常坚毅、仿佛全身上下闪烁着光芒。"
“查查”（游戏角色）的背景故事是什么	"如今居住在海洋王国的查查是一个有着部分猫咪兽化特征的少年。海洋王国如今是一个浮空的幻梦乐园，也是查查最后选中的栖息地。最初他在人类世界流浪，由于猫咪兽化特征加上可爱漂亮的外表，他在人类世界非常受欢迎，但他并不喜欢人类的亲近，于是主动来到了潮灵世界，依旧开启的流浪。实际上查查很讨厌随波逐流的生活，他开始怀念刚开始在主人家中的安稳日子，但因为发生争执出走后，他并不想主动回去，结果主人也没有继续再找他，这也是他讨厌人类的原因之一。来到海洋王国后，查查发现这里算是几个潮灵王国中比较安稳且不算封闭的国家，因此他在这里定居。查查的生活习性和猫有很大的相似之处，身手灵敏，喜欢白日睡觉，夜间活动，对好吃的食物无法抗拒，虽然刚开始会傲娇地说自己并不想吃。查查比较随性，不会随意信任其他潮灵，喜欢独来独往，但大家对他的善意他也会有所回报。"
“贝蒂”（游戏角色）的背景故事是什么	"贝蒂是来自原来的海洋王国贝壳村的女村民。她十分愿意追逐时尚潮流。喜欢在海边捡贝壳、海里寻找各种美丽的物件来打扮自己，对于装扮有着自己独特的理解和认识。被称为”贝壳女孩“，为人热情善良，喜欢交朋友，而她最好的朋友便是人鱼公主丽莎，为了照顾丽莎多愁善感的情绪，她也算是操碎了心。"
“茉莉”（游戏角色）的背景故事是什么	"茉莉是来自科技王国的舞台偶像，由于从小热爱写歌与歌唱被星光公司发掘，一开始不想抛头露面婉拒了出道邀请，后经历一些事件发现自己的歌声能给很多潮灵带来幸福感甚至增强他们的情感力量，于是答应出道。她的歌声婉转悠扬，后期的歌曲创作还将中国风歌曲与现代潮流曲完美结合，极具个人特色。星光公司为她做的包装根据她平时的歌唱风格拟定为中国风+未来科技感元素。她一经出道便风靡全国，成为科技王国最炙手可热的新星。茉莉并不沉迷于一时的热度，她最大的愿望是看遍整个世界，为这个世界谱写一曲又一曲的歌谣。但由于签约条款的限制，前期的茉莉一直没能走出科技王国。"
“阿帕”（游戏角色）的背景故事是什么	"阿帕是最初岩岩王国的居民，他天生能够用灵力操控火焰，因此能力显得也更加出众，曾经骄纵无比，在众人面前出尽风头。后来，岩岩王国变成如今的巨龙王国，引入浮空术将山岩浮于空中，开始与世隔绝之，阿帕便开始厌烦这样安静的生活，于是前往了崇尚力量的烈焰王国生活，在各种赛事中拔得头筹，被天道组织看中并纳入组织，开始为组织游走各国做任务。"
“祁灵”（游戏角色）的背景故事是什么	"祁灵是一名道士，他拥有着非凡的能力和神秘的身世。在他身上，有一种奇特的力量是其他潮灵所不具备的，这也让他成为了一个与众不同的潮灵。但与其说是力量，更不如说是一种诅咒。在拥有非凡天赋和独特能力的同时，祁灵也有着自己的痛苦，那就是他经常无法控制自己内心中潜在的恐惧和欲望。为了镇压心中的恐惧，祁灵不得不将符咒贴在自己脑袋前。只有这样，他才可以像正常人一样思考和交流。"
“吕布”（游戏角色）的背景故事是什么	"吕布从来都不认为，那个历史上真实存在的“吕布”是一个真正的英雄，虽然自己是只他的小小复制品。在他心中，一个真正的英雄应该有义气和忠诚，而自己也一直在向着这个方向去努力。然而，尽管吕布努力地改变自己的行为，他的脾气却一直是他的心结。他的暴躁和挑衅行为已经深深地影响了周围的潮灵，很多潮灵对他的情绪变化感到疲惫和无能为力。逐渐地，人们开始疏远他，使他更加孤立和愤怒。终于有一天，他决定离开巨龙王国，走向一条挑战所有强大潮灵的道路，认为能用这样的方式成为英雄。"
“美杜莎”（游戏角色）的背景故事是什么	"从记事起，美杜莎就一直在海洋王国的海岸上生活。海洋王国的居民都说她是怪物的女儿，因为她长着满头的蛇发和会使人石化的双眼。幸好，海洋王国有着一位温柔善良的公主——丽莎，丽莎不仅没有把美杜莎当作怪物，反而还收留她、宽慰她。久而久之，美杜莎就和丽莎成为了好朋友。性格强硬的美杜莎经常替内心柔软的丽莎出面解决一些问题，而丽莎也会耐心地教导美杜莎海洋王国的贵族礼仪，让她逐渐成长为一个自信且优雅的潮灵。"
召唤王国建造办的口号是什么	"♪ Sulalalala ♪ ♪ Sulalalala ♪ ♪ 王—国—建—造—办 ♪ ♪ 只要你呼唤~我们就来办 ♪"
幸福甜点铺是谁的诉求	琳：“我觉得王国里应该要有一座甜点铺，外观精致小巧，但铺子里食材、烹饪设备什么都不缺，在这里我能够做出这个世界最甜软的蛋糕和最酥脆的点心。每当我的朋友遇到不开心的事情，我都可以邀请他们来我的甜点铺品尝新品，企鹅果冻、巧克力慕斯、千层蛋糕……没有什么比可口的甜点更让人感到幸福啦！”																
幸福甜店铺的设计理念是什么	为了方便王国里的每个潮灵小伙伴都能品尝到美味的甜点，这一次的【幸福甜点铺】被设计成了甜点车的形状，可以自由的在王国里穿梭，而且车前也配置了简易的桌椅，方便大家休息品尝。从外观上看，甜点铺还参考了甜甜圈、法棍等很多食物的原型，简直看上去就让人食欲大开……																
“菲“（游戏角色）的角色设计思路是什么	作为一名时尚达人，菲的整体设计大胆的采用了前卫的色调搭配，鲜艳的绿色和魅惑的紫色交织，甜辣感十足，简单的衣装搭配运动鞋，丝毫不会影响她在战斗时的便捷性，还能更加展现出她干净利落的大姐头风格。																
“菲“（游戏角色）的战斗定位是什么	作为曾经的大姐头，菲承担着团队里的重要输出定位，她能掀起巨大的风暴，给敌人造成强大的魔法伤害。																
“吉他手“（游戏角色）的战斗定位是什么	少见的能量恢复机制，必杀技高额的攻击力提升，非常适合辅助依靠必杀技输出的潮灵																
“伊林“（游戏角色）的战斗定位是什么	小技能最后一击附带斩杀伤害，适合BOSS战																
